last_scraped,name,description,neighborhood_overview,host_name,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,estimated_occupancy_l365d,first_review,last_review,instant_bookable,central,review_scores_rating
9405,50,527,607,6,5798,122,0,,1.0,1,1,1,18,1,40.57548,-74.09462,18,15,3,1.0,6,1,2.0,1119,114.0,30,1125,0,7099,8993,0,7.36,4.92
9406,32,227,644,5,3763,263,0,,,0,1,2,18,1,40.71008,-73.95242,27,12,2,,6,,,144,,30,1125,0,5645,5645,1,7.28,5.0
9406,29,111,0,5,8068,71,18,0.0,0.0,0,1,1,9,1,40.74618022165264,-73.88112913817167,27,12,2,,14,,,408,,30,1125,0,8502,8711,0,7.55,4.93
9406,14,59,0,7,6794,29,14,0.98,0.95,,6,6,18,1,40.75402,-73.90518,20,12,1,1.5,16,1,1.0,227,74.0,30,41,60,9344,9344,0,6.38,5.0
9406,31,251,168,6,5084,262,0,,,0,1,1,18,1,40.70969,-73.95584,27,12,2,,6,,,98,,30,1125,0,5660,6008,0,7.48,5.0
9405,48,42,0,7,7280,0,14,1.0,0.99,1,2,2,9,1,40.78698,-73.83893,20,12,2,1.5,9,3,4.0,618,315.0,30,1125,0,8548,8695,0,6.42,4.46
9406,34,236,0,5,4089,7,0,,,0,2,2,32,1,40.7435,-73.99426,27,12,2,,6,,,241,,30,1125,0,5942,5942,0,7.18,5.0
9406,38,208,95,6,4297,132,12,1.0,1.0,0,3,5,18,1,40.8666,-73.90061,27,12,2,1.0,13,2,2.0,441,44.0,30,30,0,4749,8948,0,7.36,4.68
9406,22,195,0,6,5906,434,18,0.99,0.66,1,204,387,18,1,40.757123,-73.9647581,18,15,2,1.0,6,0,1.0,489,155.0,30,365,120,8826,9241,0,7.32,4.67
9406,42,254,571,0,,0,0,,,0,,,0,,40.744575,-73.9949274,18,15,2,1.0,6,1,1.0,484,495.0,31,1125,62,9353,9353,1,6.92,3.0
9406,32,261,338,4,4672,84,0,,,0,4,4,18,1,40.66554,-73.98116,18,15,4,,6,2,,250,,30,1125,0,7151,7299,0,6.77,5.0
9406,40,416,463,9,8451,0,14,1.0,0.91,0,2864,6545,18,1,40.84775,-73.93153,13,10,8,2.0,0,2,0.0,391,562.0,1,1125,0,9010,9010,1,7.41,5.0
9406,40,498,235,6,5435,267,14,1.0,1.0,0,1,3,9,1,40.73177,-73.85684,11,15,4,1.0,6,2,3.0,742,119.0,30,1125,0,7315,8729,0,7.03,4.77
9406,47,491,498,6,5140,0,0,,0.0,0,1,1,18,1,40.68748,-73.99979,11,15,6,2.0,7,2,4.0,264,250.0,30,365,0,6475,7901,0,6.92,5.0
9406,32,249,89,3,4834,352,14,1.0,0.97,0,7,69,18,1,40.7466,-73.88104,27,12,2,1.0,13,1,1.0,328,59.0,30,1125,0,5356,6708,1,6.94,4.56
9406,49,356,451,7,5294,607,18,0.4,0.88,1,2,2,18,1,40.60859,-73.97754,27,12,2,,13,,,1047,,30,1125,120,6168,9248,0,6.73,4.83
9406,48,60,0,6,5326,0,18,0.99,0.87,0,315,357,18,1,40.74481,-73.89125,25,12,2,,13,,,56,,30,1125,120,8308,9313,0,7.19,3.5
9406,35,35,0,5,7274,0,0,,,0,1,1,9,1,40.74344,-73.98012,27,12,3,,6,,,75,,30,1125,0,7407,7407,0,7.79,5.0
9405,6,161,0,6,6992,0,18,0.9,0.87,0,9,9,18,1,40.66953,-73.89574,25,12,2,2.0,14,1,1.0,552,43.0,30,365,60,8247,9132,0,7.59,5.0
9406,50,340,1000,5,9175,0,18,1.0,0.45,1,4,4,18,0,40.7473219,-73.98802599999999,18,15,6,1.0,6,1,6.0,603,411.0,3,28,179,9195,9402,0,7.73,5.0
9406,45,464,0,8,8341,0,12,0.5,1.0,0,1,1,18,1,40.8494,-73.93332,21,12,2,1.5,16,2,1.0,199,64.0,30,365,0,8367,8639,1,7.17,4.89
9406,42,491,1000,18,5400,441,18,0.91,0.99,1,271,1127,32,1,40.7523,-73.99554,18,15,3,1.0,6,1,1.0,589,348.0,30,270,0,7640,7640,1,7.16,5.0
9406,34,305,234,7,5385,110,0,,,0,1,1,18,1,40.68246,-73.96511,18,15,2,,6,,,196,,30,30,0,5468,6799,0,7.02,4.57
